name,official_school_name,place_id,Number who sat the Leaving Cert in June 2017,UCD,TCD,DCU,UL,Maynooth University,NUIG,UCC,St. Angela’s,QUB,Ulster University,Blanchardstown IT,National College of Ireland,DIT,Tallaght,Athlone IT,CIT,Dundalk,Galway-Mayo IT,IADT,IT Carlow,IT Sligo,IT Tralee,IT Letterkenny,IT Limerick,IT Waterford,Marino Institute of Education,Mary Immaculate,NCAD,RCSI,Griffith College,Dublin Business School,Irish College for Humanities and Applied Sciences,Total number (all years) who,  Totalprogression(allyears)to 
"Rice College, Christian Brothers, New Road, Ennis",Rice College Secondary School,ChIJE74IJTJtW0gROJW0V1uuTyk,102,2,3,3,20,1,17,5,0,0,0,0,0,1,0,0,2,0,5,1,0,0,1,1,25,2,1,10,0,0,0,1,0,101,0.99
"Coláiste Muire, College Rd, Ennis",Colaiste Muire,ChIJN2CxzDJtW0gRs8iY5vyknOY,116,1,4,0,19,0,28,14,0,0,0,0,0,2,0,0,0,0,18,1,0,1,4,0,4,0,0,13,0,0,0,0,0,109,0.94
"Mary Immaculate Secondary School, Liosduin Bhearna, Inis",Mary Immaculate Secondary School,ChIJUZ6bTgKoW0gRCVNhUPtb0fs,45,0,0,0,14,0,5,2,0,0,0,0,1,0,0,4,0,0,4,1,1,0,0,0,7,1,0,2,0,0,0,0,0,42,0.93
"Coláiste Fhlannain, Inis",Saint Flannans College,ChIJhcP07CoTW0gRYn-qvBOt_LM,198,6,4,2,48,1,19,18,1,0,0,0,0,0,0,5,3,0,25,0,4,0,1,2,24,2,0,10,0,0,1,0,0,176,0.89
"Kilmihil Community College, Kilmihil",St Michaels Community College,ChIJy7F20t8eW0gR8-WLUxW203c,50,1,0,0,12,0,4,2,0,0,0,0,0,3,0,0,0,0,3,0,2,0,1,1,8,0,0,6,0,0,0,0,0,43,0.86
"Mean Scoil na mBraithre, C.B.S., Ennistymon","CBS Secondary School, Ennistymon",ChIJF-4VLnYGW0gR8I7iv139Lus,33,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,28,0.85
"St Caimin’s Community School, Tullyvarraga, Shannon",St Caimin's Community School,ChIJx_KVGNtBW0gRZ3z4gIaUszM,131,2,0,1,38,0,14,4,0,0,0,0,0,0,0,1,0,0,4,0,1,0,2,1,36,0,0,6,0,1,0,0,0,111,0.85
"Scariff Community College, Scariff",Community College Hall,ChIJAWuL_ladXEgRheuAp5iR13o,62,2,0,0,5,0,12,2,2,0,0,0,1,0,0,0,4,0,5,1,0,0,1,1,9,3,0,4,0,0,0,0,0,52,0.84
"St Anne’s Community College, Killaloe",Saint Anne's Community College,ChIJmagn7_GeXEgRJ4XoYK-9d0g,93,2,2,0,35,1,3,2,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,17,0,0,4,0,0,0,0,0,72,0.77
"St Patrick’s Comprehensive Sch, Shannon",St Patricks Comprehensive School,ChIJlWlXStZBW0gRiLVYWfYb1mA,99,0,1,0,24,1,8,3,0,0,0,0,0,0,0,1,0,0,6,0,3,0,1,1,19,1,1,3,0,0,0,0,0,73,0.74
"Ennis Community College, Harmony Row, Ennis",Ennis Community College,ChIJn9fOCM0SW0gRSMqTtM7CrF4,40,0,0,0,5,1,4,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,12,0,0,0,0,0,0,0,0,29,0.73
"St John Bosco Community College, Kildysart, Ennis",St John Bosco Community College,ChIJIf9CsSc9W0gRv6-AN9fts1E,40,0,0,0,6,0,0,2,0,0,0,0,0,0,0,1,1,0,3,0,0,0,2,2,7,1,0,4,0,0,0,0,0,29,0.73
"Kilrush Community School, Kilrush",Kilrush Community School,ChIJMc2ktXPeWkgRFZXRr1WlZgI,81,1,2,1,10,0,10,1,0,0,0,0,0,1,0,2,1,0,11,1,0,0,1,0,11,0,0,4,0,0,0,0,0,57,0.7
