name,official_school_name,place_id,Number who sat the Leaving Cert in June 2017,UCD,TCD,DCU,UL,Maynooth University,NUIG,UCC,St. Angela’s,QUB,Ulster University,Blanchardstown IT,National College of Ireland,DIT,Tallaght,Athlone IT,CIT,Dundalk,Galway-Mayo IT,IADT,IT Carlow,IT Sligo,IT Tralee,IT Letterkenny,IT Limerick,IT Waterford,Marino Institute of Education,Mary Immaculate,NCAD,RCSI,Griffith College,Dublin Business School,Irish College for Humanities and Applied Sciences,Total number (all years) who,  Totalprogression(allyears)to 
"St Mary’s Secondary School, Charleville",St Mary's Secondary School,ChIJhxXdiFC5REgR89j1PjVFgtg,53,0,0,0,7,0,1,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,1,7,4,0,5,0,0,0,0,0,39,0.74
"Coláiste Pobail Bheanntraí, Seskin, Bantry",Coláiste Pobail Bheanntraí - Bantry Community College,ChIJGd4IeFcKRUgRD9nhVlCXsqk,121,2,0,0,7,1,0,30,0,0,0,0,0,0,0,0,38,0,1,0,0,0,5,0,2,2,0,1,0,0,0,0,0,89,0.74
"Coláiste Pobail Naomh Mhuire, Cill na Mullach",Coláiste Pobail Noamh Mhuire,ChIJ3cZw_bSwREgRknldXY56kao,34,0,0,1,5,0,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,1,1,0,3,0,0,0,0,0,25,0.74
"Douglas Community School, Douglas Road, Cork City",Douglas Community School,ChIJP5P5uVCFREgRX6_NnP1UZHg,90,1,0,0,1,0,1,29,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0.73
"Pobailscoil na Trionóide, Parkmountain, Youghal",Pobalscoil Na Tríonóide,ChIJwyAZ5qJtQ0gRi0jF676agl8,128,2,1,0,7,0,1,29,1,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,2,22,0,3,0,0,0,0,0,93,0.73
"St. Fanahan’s College, Mitchelstown",St Fanahans College,ChIJq3SICBNXQ0gRrJrrqUBghE0,25,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,18,0.72
"Presentation Sec School, Joe Murphy Road, Ballyphehane, Cork City",Presentation Secondary School,ChIJpfUlXeCPREgR4mofbNILz9Q,39,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,28,0.72
"Nagle Rice Secondary School, Doneraile, Mallow",Nagle Rice Secondary School,ChIJ5VGaJp-6REgRtIg_Y9ClKH8,35,0,0,1,5,0,0,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,3,0,0,2,0,0,1,0,0,25,0.71
"Millstreet Community School, Millstreet Town, Co.Cork",Millstreet Community School,ChIJc4l_sCncREgREysRMu6falg,52,0,0,0,7,0,1,10,0,0,0,0,0,1,0,0,13,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,37,0.71
"Coláiste an Chraoibhin, Duntaheen, Fermoy",Coláiste an Chraoibhin,ChIJn7kMEUJfQ0gRiDgXO7ufkf8,78,0,0,0,6,1,0,15,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,3,4,0,1,1,0,1,0,0,55,0.71
"Glanmire Community College, Brooklodge, Glanmire",GLANMIRE COMMUNITY COLLEGE,ChIJX1GrRwubREgRdUmFeIe_VWk,135,0,1,0,3,0,0,31,0,0,0,0,0,0,0,0,56,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,0.7
"Davis College, Summerhill, Mallow",Gaelscoil Thomáis Dáibhís,ChIJqUD3Mqq-REgRavTHt__QDqY,98,0,0,1,20,0,3,13,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4,0,2,1,0,0,0,0,0,1,0,68,0.69
"Christian Brothers Secondary School, Bakers Road, Charleville",Bakers Road,ChIJwU7pcRKzREgR9EOTHNWkWoQ,44,0,1,0,3,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,2,3,0,0,0,0,2,0,0,30,0.68
"Gaelcholáiste Mhuire (A.G), An Mhainistir Thuaidh, Corcaigh","Gaelcholáiste Mhuire, A.G. North Monastery",ChIJmY1vhGyQREgR1KOmSxI6zIk,80,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,54,0.68
"Bishopstown Community School, Westgate Road, Bishopstown, Cork",Bishopstown Community School,ChIJG0ve9diRREgRahZ4yC8dJ2c,24,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,16,0.67
"Cork College of Commerce, Morrisons Island, Cork",Cork College of Commerce,ChIJ1Qj7lIKXREgRIFRTYhy7zr0,101,0,1,0,1,0,0,33,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,64,0.63
"St. Colman’s Community College, Midleton",St. Colmans Community College,ChIJUSlLjzJjQ0gRfTBRom0dNgY,98,0,0,0,0,0,0,23,0,2,0,0,0,1,0,0,32,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,62,0.63
"Bishop McEgan College, Macroom",Bishop McEgan College,ChIJ8znsQrLlREgRBbwcFDD9gaQ,30,0,0,0,2,1,1,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,18,0.6
"Gairm Scoil Bhrogain Naofa, Droichead na Banndan",Gaelscoil Droichead Na Banndan,ChIJFzoLEy30REgR0Sr4rRAd9ic,62,0,0,0,1,0,0,11,0,0,0,0,0,0,0,1,20,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,37,0.6
"Skibbereen Community School, Skibbereen",Skibbereen Community School,ChIJSUWAK5OlRUgRozi0KeSIsGs,154,7,3,0,8,3,4,7,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,6,2,0,7,0,0,0,0,0,85,0.55
"Nagle Community College, Avenue De Rennes, Mahon, Cork",Nagle Community College,ChIJ2bCwLCuFREgRNDBhVALZTwo,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0.55
"St Aidan’s Community College, Dublin Hill, Ballincollie Road",St Aidans Community College,ChIJv2iEkYKaREgRWEXAkl5QBvQ,73,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0.51
"Carrignafoy Community College, Cobh",Carrignafoy Community College,ChIJKzm8mgeDREgR8gba2lA9Hmg,27,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0.48
"St Peter’s Community School, Passage West, Cork",St Peters Community School,ChIJcUCizGGDREgRZD3g6MWvb4E,53,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.47
"Deerpark C.B.S., St. Patrick’s Road, Cork",Deerpark C.B.S.,ChIJ50sGMByQREgRrMWWXktMoNg,33,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.39
"Mayfield Community School, Old Youghal Road, Mayfield, Cork City",Mayfield Community School,ChIJuzmVipaaREgRe7OHDk8NSQs,31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.32
"Terence McSwiney, Community College, Knocknaheeny, Cork City",CityNorth College of Further Education,ChIJfVXvyjeQREgRGvrfFnv8nwM,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0.31
"North Presentation Sec. School, Farranree, Cork",North Presentation Secondary School,ChIJQQkGgGmQREgRPhZThhIRwuo,35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0.26
"Scoil Phobail, Chloigh Cheannfhaola, Falcarragh, Letterkenny",Pobalscoil Chloich Cheannfhaola,ChIJaU87XTePX0gRONOJDimcIDs,51,2,3,2,1,6,6,0,1,0,1,0,0,1,0,0,0,1,4,0,1,5,0,24,1,1,4,0,0,0,0,0,0,64,1.25
"St Columba’s Comprehensive Sch, Glenties, Donegal",St Columbas Comprehensive School,ChIJXz6sLJALX0gRksaM-OgmKyE,92,3,1,11,2,4,9,3,1,2,1,0,0,1,0,1,2,0,5,0,0,18,0,31,0,0,1,0,0,0,0,0,0,96,1.04
"Abbey Vocational School, Donegal Town",Abbey Vocational School Donegal Town,ChIJM2gLqzOoX0gRXXGIGbaqi8U,107,2,1,16,3,7,12,0,0,0,0,0,0,1,0,1,1,0,9,1,1,31,1,18,0,0,1,1,0,0,0,1,1,109,1.02
"Ghairmscoil Chu Uladh, Beal an Atha Mhoir, An Clochan, Leifear",Gairmscoil Chú Uladh,ChIJ_eoRWHOiX0gRbaep1VW1Cts,24,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,13,0,0,2,0,0,0,0,0,0,24,1
"Mulroy College, Milford, Letterkenny",Mulroy College,ChIJ0dn0GNuSX0gRZ8Y05Cgm4so,24,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,0,0,0,0,0,24,1
"Coláiste na Carraige, An Charraig, Dun na Ngall",Coláiste na Carraige,ChIJ4zrSSlI9X0gRlaybgy5BVFQ,48,5,5,4,0,5,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,6,0,1,1,0,1,0,0,0,0,46,0.96
"Pobalscoil Ghaoth Dobhair, Doirí Beaga, Leitir Ceanainn, Tír Chonaill",Derrybeg,ChIJu3xWM2B4X0gRwKYxl6nHAAo,65,3,1,7,2,7,9,1,0,1,0,0,0,4,0,0,0,0,7,0,0,4,0,14,0,0,1,0,0,0,0,0,0,61,0.94
"Gairmscoil Mhic Diarmada, Oilean Arainn Mhoir, Leitir Ceannain",Arranmore,ChIJc4c6o5dvX0gRfypB0_z_FQ0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,1,0,0,0,0,0,0,13,0.93
"St Eunan’s College, Letterkenny",St Eunan's College,ChIJe1o2NcmUX0gRrA8AyqJV2BA,137,7,2,6,0,6,27,1,0,4,2,1,0,2,0,0,0,0,5,0,0,2,0,60,1,0,1,0,0,0,0,0,0,127,0.93
"St Columbas College, Stranorlar, Lifford",St Columba's College,ChIJmxkZb8y-X0gR_DNUA_fahAM,156,4,2,5,1,15,16,1,0,4,4,2,0,1,0,0,0,0,4,0,0,6,0,74,0,0,1,0,0,0,0,0,0,140,0.9
"The Rosses Community School, Dungloe, Donegal",Rosses Community School,ChIJjXp1bVJxX0gRSOK8QlwODms,84,2,0,11,0,6,10,0,0,1,0,1,0,1,0,0,0,0,4,1,0,7,0,30,0,0,0,0,0,0,0,0,0,74,0.88
"Magh Éne College, Church Road, Bundoran",Magh Ene College,ChIJmyv-zBP9XkgR3mLnYLjrBl0,54,0,0,4,0,0,8,0,1,0,0,0,0,0,0,0,0,0,3,0,1,23,0,5,0,0,1,0,0,0,0,1,0,47,0.87
"St. Catherine’s Vocational Sch, Donegal Road, Killybegs",St Catherines Vocational School,ChIJkznXb18aX0gR70po0cvEibQ,50,3,1,5,1,0,4,0,0,0,0,1,0,3,0,1,1,0,9,0,0,4,0,7,1,1,0,0,0,0,0,1,0,43,0.86
"Scoil Mhuire, St Orans Road, Buncrana",Scoil Mhuire Buncrana,ChIJJWJ3J6D7X0gRy13-3P-iqJg,93,5,0,4,3,16,8,0,0,0,4,0,0,0,0,0,0,0,3,0,0,6,0,29,0,0,0,0,0,0,0,0,0,78,0.84
"Loreto Community School, Milford",Loreto Community School,ChIJReYuQGHyX0gREmB5CQmF1cc,144,5,0,7,0,15,14,1,3,1,2,1,1,3,0,0,0,1,2,0,0,8,1,53,0,0,0,0,0,0,0,0,0,118,0.82
"Coláiste Ailigh, Cnoc na Móna, Leitir Ceanainn",Colaiste Ailigh,ChIJbzwbn0jrX0gRoDqzZOQTdDI,46,6,0,4,0,3,10,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,37,0.8
"Coláiste Cholmcille, Ballyshannon",Colaiste Cholmcille,ChIJr26bjBv-XkgRnp2f9xMY8Wo,114,6,2,1,7,11,10,0,1,1,0,0,0,1,0,2,0,0,5,1,0,33,0,7,1,1,0,0,0,0,0,1,0,91,0.8
"Clochar Loreto, Leitirceanainn",Loreto Convent Letterkenny,ChIJ817zSMyUX0gRn9F6dTv9ttM,162,12,4,13,1,8,16,1,0,4,5,0,0,4,0,0,2,0,2,0,0,2,0,47,0,0,1,0,0,0,0,0,0,122,0.75
"Moville Community College, Carrownaff, Moville",Moville Community College,ChIJrZ2HeU4bYEgR0rP6Ghbgjnw,78,1,3,1,1,6,4,0,0,1,5,0,0,0,0,0,1,0,5,0,1,3,0,26,0,0,0,0,0,0,0,0,0,58,0.74
"Carndonagh Community School, Carndonagh",Carndonagh Community School,ChIJjQmgs7UBYEgRmBIfwDr7W88,189,9,0,10,0,9,18,0,0,2,7,1,0,1,0,2,0,0,15,0,0,3,0,60,1,0,0,0,0,0,0,0,0,138,0.73
"Crana College, Buncrana",Crana College,ChIJ5QMaaqH7X0gRiecNBVSaWaQ,84,1,3,4,2,4,4,0,0,1,5,0,0,1,0,0,0,0,4,0,0,1,1,30,0,0,0,0,0,0,0,0,0,61,0.73
"Deele College, Rath Bhoth, Leifear",Deele College Vocational School,ChIJrx_msCDCX0gR_Gh_uz6NbJ0,98,1,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,59,0,0,0,0,0,0,0,0,0,69,0.7
"Royal and Prior, Comprehensive School, Raphoe, Lifford",Royal and Prior School Raphoe Co Donegal,ChIJ6czEyovBX0gR-f6026HZ4Cg,104,2,0,6,3,2,6,0,2,0,6,0,0,1,0,0,0,0,1,0,0,1,0,34,0,0,0,0,0,0,0,0,0,64,0.62
"Errigal College, Windyhall, Letterkenny",Errigal College,ChIJ46HkjEvrX0gR_dDdo6XonYg,45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,1,0,0,0,0,0,21,0.47
"Finn Valley College, Drumboe Lower, Stranorlar",Finn Valley College,ChIJt9tQl86-X0gRdHcrIM_vvUM,57,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,17,0,0,0,0,0,0,0,0,0,23,0.4
"St. Joseph’s Patrician College, Nuns’ Island, Galway ",Saint Joseph's Patrician College - The Bish,ChIJwaDCa_qWW0gRbdl7NTkKK0Y,135,5,0,0,8,0,95,2,0,0,0,1,0,0,0,0,1,0,35,0,0,0,0,0,1,0,0,2,0,0,0,0,0,150,1.11
"Mean Scoil Ard Na Mara, Cinnmhara, Gaillimh ",Árd Na Mara,ChIJLY6wbE2WW0gRgMkE5KSdl7g,50,2,3,2,11,0,13,1,0,0,0,0,0,4,0,2,1,1,7,0,0,2,1,0,0,0,0,2,1,1,0,0,0,54,1.08
"Salerno Secondary School, Threadmill Road, Salthill, Galway ",Salerno Secondary School,ChIJVe5SpUuWW0gR_fugIp3hTdM,102,6,11,0,11,0,55,0,1,0,0,0,0,3,0,1,0,0,9,1,0,1,0,1,2,0,1,5,1,0,0,0,0,109,1.07
"Our Lady of Mercy College, Woodford, Loughrea ",Loughrea,ChIJo5MYLwN5XEgRoIcxl6nHAAo,19,0,0,1,3,0,2,0,1,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,20,1.05
"Coláiste Iognáid, Sea Road, Galway ",Coláiste Iognáid (The Jes),ChIJNbbAEvmWW0gRT0Xift2Pv2Y,96,11,6,4,1,0,57,0,1,0,0,0,0,0,0,2,0,0,13,1,0,1,0,0,1,1,0,1,1,0,0,0,0,101,1.05
"Colaíste na Coiribe, Bothar Bhaile na nBurcach, Gaillimh ",Coláiste na Coiribe,ChIJE2aFp8GWW0gR0NykGLolX6s,69,5,0,2,2,0,43,0,0,0,0,0,0,0,0,2,0,0,10,1,0,0,0,0,0,0,0,4,0,0,0,0,0,69,1
"Scoil Phobail Mhic Dara, Carna, Galway ",Scoil Phobail Mhic Dara,ChIJ28nUxhtIWkgRU4djdrrm1Vo,13,0,0,0,2,1,4,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1
"Ardscoil Mhuire, Mackney, Ballinasloe ",Ard Scoil Mhuire ballinasloe,ChIJ2_VD1FBoXEgRT7jLSpOX9bs,75,3,1,0,6,3,22,1,0,0,0,0,0,0,0,16,0,0,14,0,0,4,0,0,0,0,0,3,0,0,0,0,0,73,0.97
"St Raphael’s College, Loughrea ",St Raphaels College,ChIJPxJqkhl5XEgRzUICQmStj-k,73,2,0,0,2,2,22,3,0,0,0,0,0,1,0,9,0,0,16,0,1,1,0,0,3,1,1,5,1,1,0,0,0,71,0.97
"Coláiste Mhuire, Beal Atha Ghartha ",Colaiste Mhuire,ChIJBetGrjIUXEgRpjZxkhcxX7k,30,1,0,1,2,4,2,0,0,0,0,0,0,3,0,4,0,0,9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,29,0.97
"Calasanctius College, Mary Nihill, Oranmore ",Calasanctius College,ChIJbfOiX0qQW0gR9zEHUF-GRFw,154,5,4,1,6,0,72,0,2,0,0,0,0,2,0,2,0,0,40,0,1,0,0,0,5,0,0,6,1,0,0,0,0,147,0.95
"Glenamaddy Community School, Glenamaddy ",Glenamaddy Community School,ChIJE9ABz2MFXEgRoGubf-kPXJA,66,10,0,2,8,0,12,1,1,0,0,0,0,1,0,7,0,0,9,0,0,9,0,0,1,0,0,2,0,0,0,0,0,63,0.95
"Scoil Phobail, Clifden, Galway ",Scoil Phobail,ChIJfxAfQE07WkgRf52gLVCdwHg,52,2,0,0,7,0,16,0,0,0,0,0,0,0,0,2,1,0,18,0,1,0,0,0,1,0,0,1,0,0,0,0,0,49,0.94
"Presentation College, Athenry ",Presentation College,ChIJX9rFWhSJW0gRe93uPjJG1k4,208,9,1,3,26,1,83,3,0,0,0,0,0,0,0,12,0,0,39,0,0,2,1,0,1,1,0,12,1,0,0,0,0,195,0.94
"Dominican College, Taylors Hill, Galway City ",Dominican College,ChIJnSfJbFGWW0gR3mZfExrwI8s,110,4,1,0,4,3,47,2,3,0,0,0,0,1,0,1,0,0,26,0,2,2,0,0,1,0,0,5,0,0,0,0,0,102,0.93
"Community School, Portumna, Ballinasloe ",Portumna Community School,ChIJ2YSPXXKKXEgRFExJDjQzzLg,61,3,1,2,9,2,9,0,0,0,0,0,0,0,1,3,0,0,13,0,1,0,0,0,4,4,0,3,0,1,0,0,0,56,0.92
"Coláiste Cholmcille, Indreabhán, Gaillimh ",Coláiste Cholmcille,ChIJNcxLfPGwW0gRnBg8NnsAZX8,35,0,0,0,0,1,12,1,0,0,0,0,0,1,0,1,0,0,12,0,0,1,0,0,1,1,0,1,0,0,0,0,0,32,0.91
"Holy Rosary College, Mountbellew ",Holy Rosary College,ChIJqZlZh3ANXEgRU2ZCp0BGcHs,97,7,0,5,5,3,28,5,2,0,0,0,0,0,0,6,0,0,13,0,0,7,0,0,1,0,1,5,0,0,0,0,0,88,0.91
"Presentation College, Currylea, Tuam ",Presentation College,ChIJLfUnfLX2W0gRzzV0j36NSX8,48,1,2,0,2,0,13,2,0,0,0,0,0,0,0,4,0,0,9,0,0,3,1,0,0,0,1,2,0,0,0,0,0,40,0.83
"Dunmore Community School, Dunmore, Tuam ",Dunmore Community School,ChIJtWJWu5UHXEgRSauUBjOadhg,53,4,0,2,4,1,8,0,0,0,0,0,0,2,0,2,0,0,13,0,0,3,1,0,1,0,0,2,0,0,1,0,0,44,0.83
"Garbally College, Garbally Park, Ballinasloe ",Garbally College,ChIJTVOMCN90XEgRtQ14iT_kMUY,80,3,1,3,10,8,10,1,0,0,0,0,1,1,0,7,0,0,17,0,0,1,0,0,3,0,0,0,0,0,0,0,0,66,0.83
"Coláiste Einde, Threadneedle Road, Salthill, Galway ",Coláiste Éinde - St. Enda's College,ChIJ9SqB20uWW0gRm6thYvK0pQ0,135,5,3,1,4,1,55,1,0,0,1,0,0,1,0,2,0,0,28,2,0,0,0,0,2,1,0,2,1,0,0,0,0,110,0.81
"St. Jarlath’s College, Tuam ",St. Jarlath's College,ChIJweZor7X2W0gRKlWKtMXL3dc,88,1,0,1,3,1,20,0,0,0,0,0,0,0,0,4,0,0,33,0,0,3,0,0,2,0,0,2,0,0,0,0,0,70,0.8
"Coláiste Naomh Feichín, Corr na Mona ",Coláiste Naomh Feichín,ChIJS4uUxorPW0gRdJ-JgWbF_xk,19,1,0,1,2,0,5,2,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0.79
"Gort Community School, Gort ",Gort Community School,ChIJv2DZyquCW0gRAHJ3g7yZtqo,118,1,2,2,9,0,30,2,0,0,0,0,0,1,0,6,1,0,30,0,0,1,0,1,3,0,0,4,0,0,0,0,0,93,0.79
"St Cuan’s College, Castleblakney, Ballinasloe ",St Cuans College,ChIJrXtNFapyXEgRHfMmEcDYoks,44,1,0,1,1,4,12,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,1,2,0,0,2,0,0,0,0,0,34,0.77
"St. Brigid’s College, Baile Locha Riach, Co.na Gaillimhe ",St Brigid's College,ChIJJasMLhh5XEgRXrFDzUQ5Tfc,106,2,1,1,3,2,24,2,0,0,0,0,0,0,0,12,0,0,21,1,0,0,0,1,5,0,0,6,0,0,0,0,0,81,0.76
"Scoil Bhride, Clochar na Trocaire, Tuaim ",Scoil Bhríde,ChIJKedWe7T2W0gRmroN2Bl-Yds,52,1,1,1,1,0,11,2,4,0,0,0,0,1,0,2,0,0,7,0,0,5,0,1,0,0,0,2,0,0,0,0,0,39,0.75
"St. Paul’s Secondary School, Oughterard ",St Pauls Secondary School,ChIJc3sSu8TGW0gRYKr9SAhHqdU,59,0,2,0,3,0,18,2,0,0,0,0,0,0,0,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,0.75
"Coláiste Naomh Éinne, Cill Rónáin, Oileáin Árann ",Coláiste Naomh Éinne,ChIJjQjUEH9RWkgR1CRIyoSOPC8,14,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0.71
"St. Killian’s Vocational School, New Inn, Ballinasloe ",St. Killian's College,ChIJc_fLtyhxXEgRp_kd_XhVF-s,24,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,1,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,17,0.71
"Coláiste Chroi Mhuire Gan Smal, An Spideal, Gaillimh ",Coláiste Chroí Mhuire,ChIJda1041e6W0gRX_CbB_FttHc,40,0,0,0,1,1,15,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.7
"Clochar na Toirbhirte, Athcinn ",Headford,ChIJe6nLOefrW0gRcNIxl6nHAAo,165,6,2,1,4,1,46,1,2,0,0,0,0,0,0,1,1,0,40,0,1,1,1,1,2,0,0,2,2,0,0,0,0,115,0.7
"St. Mary’s College, St. Mary’s Road, Galway ",St Marys College,ChIJQfHCd_iWW0gR9Vq7cBOPOw4,85,2,0,0,2,0,17,0,0,0,0,1,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0.66
"Scoil Chuimsitheach Chiaráin, An Cheathrú Rua, Co.na Gaillimhe ",Scoil Chuimsitheach Chiaráin,ChIJ7V0xwapMWkgRXTN2HWoX8Y8,49,1,0,0,3,1,16,0,0,0,0,0,0,1,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.65
"Gairm Scoil, Baile Atha an Ri ",Gaelscoil Riada,ChIJNRQYuj-JW0gRTm7FqQ-Zmg4,99,0,0,0,5,2,22,0,1,0,0,0,0,2,0,3,0,0,24,0,0,2,0,0,1,0,0,1,0,0,0,0,0,63,0.64
"Gairm Scoil na bPiarsach, Ros Muc, Gaillimh ",Coláiste na bPiarsach,ChIJ_c21clG1W0gRNDij4PFd_Lw,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,8,0.47
"Our Lady’s College, Presentation Road, Galway City ",Our Lady's College Galway,ChIJQUolVPeWW0gRaUDGbM3UVVk,68,0,0,0,2,0,12,0,0,0,0,1,0,0,0,1,1,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0.47
"Galway Community College, Moinin na Gciseach, Galway ",Galway Community College,ChIJX3PG3caWW0gRr3oErBdQ4tM,57,0,0,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,21,0.37
"Tralee Community College, Clash, Tralee ",Kerry College of Further Education,ChIJWSL-x3I1RUgRfT4h2aYrF6M,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,18,1.2
"St Patrick’s Secondary School, Castleisland ",Pat's. Castleisland,ChIJZaB8lAMuRUgRpmffV26jy2c,29,2,0,0,5,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,2,0,0,0,0,1,0,0,33,1.14
"Presentation Secondary School, Clochar na Toirbhirte, Castleisland ",Presentation Secondary School Castleisland,ChIJp9gLfAQuRUgRyqPyYPMfLug,21,1,0,0,1,0,0,11,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,1,0,1,1,0,0,0,0,0,22,1.05
"Presentation Sec School, Tra Li ",Tralee,ChIJ6WJcGmQ1RUgRfzYwl2PgcWw,106,3,5,3,10,1,6,29,0,0,0,0,0,0,0,1,5,0,0,0,0,0,31,1,3,0,0,8,1,0,0,0,0,107,1.01
"Gaelcholaiste Chiarrai, Tobar Mui Doire, Tra Li ",Tralee,ChIJ6WJcGmQ1RUgRfzYwl2PgcWw,42,4,1,0,6,0,5,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,42,1
"St Brigid’s Secondary School, New Street, Killarney ",St Brigids Secondary School (Presentation College),ChIJSXIWPwY8RUgRm40U210ND4k,65,1,3,1,3,0,2,24,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11,0,3,1,0,3,0,0,1,0,0,63,0.97
"Tarbert Comprehensive School, Tarbert, Listowel ",Tarbert Comprehensive School,ChIJQxON-bjYWkgRngHT8w2w2BU,97,1,2,3,23,0,7,20,0,0,0,0,0,1,0,0,7,0,2,0,3,0,10,0,5,0,0,9,0,1,0,0,0,94,0.97
"Presentation Secondary School, Listowel ",Presentation Secondary School,ChIJqRzSkwDRWkgRmj0aEapLrnU,48,0,0,0,7,0,4,12,0,0,0,0,0,0,0,0,4,0,1,0,0,0,8,0,4,2,0,2,0,1,0,0,0,45,0.94
"Mercy Secondary School, Mounthawk, Tralee, Co.Kerry ",Mercy Mounthawk Secondary School,ChIJ-QvDkaFKRUgRrHUmTPlPJqc,169,1,6,1,21,0,9,34,1,0,0,0,0,0,0,0,17,0,4,0,1,0,47,0,6,1,0,9,0,0,0,0,0,158,0.93
