name official_school_name	Address 1	Address 2	Address 3	Address 4	Address 42	County
O?Connell School	O?Connell Secondary School	North Richmond Street	Dublin 1			"North Richmond Street, Dublin 1"	Dublin
Coláiste Mhuire	Coláiste Mhuire	Bothar Rath Tó	Baile Atha Cliath 7			"Bothar Rath Tó, Baile Atha Cliath 7"	Dublin
"Christian Brothers, Synge St."	Christian Brothers Secondary School	"Synge St.,"	Dublin 8.			"Synge St.,, Dublin 8."	Dublin
St. David?s C.B.S.	St David?s CBS	Malahide Road	Artane	Dublin 5		"Malahide Road, Artane, Dublin 5"	Dublin
Meanscoil Iognáid Rís	Drimnagh Castle Primary	Long Mile Road	Walkinstown	Dublin 12		"Long Mile Road, Walkinstown, Dublin 12"	Dublin
St. Aidan?s C.B.S.	St. Aidan?s CBS	Collins Avenue Ext	Whitehall	Dublin 9		"Collins Avenue Ext, Whitehall, Dublin 9"	Dublin
C.B.S. Westland Row	CBS Westland Row	Westland Row	Dublin 2			"Westland Row, Dublin 2"	Dublin
St Declan?s College	St Declan?s College	Nephin Road	Cabra	Dublin 7		"Nephin Road, Cabra, Dublin 7"	Dublin
Marian College	Marian College	Ballsbridge	Dublin 4			"Ballsbridge, Dublin 4"	Dublin
St Johns College De La Salle	"St. John?s College, De La Salle"	Le Fanu Rd	Ballyfermot	Dublin 10		"Le Fanu Rd, Ballyfermot, Dublin 10"	Dublin
Beneavin De La Salle College	Beneavin De La Salle College	Beneavin Road	Finglas	Dublin 11		"Beneavin Road, Finglas, Dublin 11"	Dublin
Belvedere College S.J	Belvedere College SJ	6 Great Denmark Street	Dublin 1			"6 Great Denmark Street, Dublin 1"	Dublin
Gonzaga College	Gonzaga College SJ	Sandford Road	Ranelagh	Dublin 6		"Sandford Road, Ranelagh, Dublin 6"	Dublin
Catholic University School	Catholic University School	89 Lower Leeson Street	Dublin 2			"89 Lower Leeson Street, Dublin 2"	Dublin
Chanel College	Chanel College	Coolock Village	Malahide Road	Dublin 5		"Coolock Village, Malahide Road, Dublin 5"	Dublin
St Marys College	st.marys collage	Rathmines	Dublin 6			"Rathmines, Dublin 6"	Dublin
St Michaels College	St.Michael?s College	Ailesbury Road	Dublin 4			"Ailesbury Road, Dublin 4"	Dublin
Templeogue College	Templeogue College	Templeville Road	Dublin 6W			"Templeville Road, Dublin 6W"	Dublin
Terenure College	Terenure College	Templeogue Road	Terenure	Dublin 6w		"Templeogue Road, Terenure, Dublin 6w"	Dublin
St Kevins College	St Kevin?s College	Ballygall Rd East	Finglas	Dublin 11		"Ballygall Rd East, Finglas, Dublin 11"	Dublin
