name official_school_name	Address 1	Address 2	Address 3	Address 4	Address 42	County
Seamount College	Seamount College	Kinvara	Co Galway			"Kinvara, Co Galway"	Galway
St Raphaels College	St Raphaels College	Loughrea	Co Galway			"Loughrea, Co Galway"	Galway
Holy Rosary College	Holy Rosary College	Mountbellew	Co Galway			"Mountbellew, Co Galway"	Galway
Calasanctius College	Calasanctius College	Oranmore	Co Galway			"Oranmore, Co Galway"	Galway
St Pauls	St Pauls Secondary School	Oughterard	Co Galway			"Oughterard, Co Galway"	Galway
Colaiste Chroi Mhuire	Coláiste Chroí Mhuire	An Spideal	Co Na Gaillimhe			"An Spideal, Co Na Gaillimhe"	Galway
St. Brigid?s School	St Brigids School	Convent Of Mercy	Tuam	Co. Galway		"Convent Of Mercy, Tuam, Co. Galway"	Galway
Presentation College	Presentation College	Currylea	Tuam	Co Galway		"Currylea, Tuam, Co Galway"	Galway
Mercy College	Mercy College	Woodford	Co Galway			"Woodford, Co Galway"	Galway
Marist College	Marist College	Retreat Road	Athlone	Co. Westmeath		"Retreat Road, Athlone, Co. Westmeath"	Westmeath
Our Lady?s Bower	Our Lady?s Bower Convent	Retreat Rd.	Athlone	Co Westmeath		"Retreat Rd., Athlone, Co Westmeath"	Westmeath
Meán Scoil an Chlochair	Scoil an Chlochair	Kilbeggan	Mullingar	Co Westmeath		"Kilbeggan, Mullingar, Co Westmeath"	Westmeath
"Colaiste Mhuire,"	Coláiste Mhuire	Mullingar	Co. Westmeath			"Mullingar, Co. Westmeath"	Westmeath
St Finian?s College	St Finians College	Mullingar	Co Westmeath			"Mullingar, Co Westmeath"	Westmeath
Loreto College	Loreto College	Mullingar	Co Westmeath			"Mullingar, Co Westmeath"	Westmeath
Wilson?s Hospital School	Wilson?s Hospital School	Multyfarnham	Co Westmeath			"Multyfarnham, Co Westmeath"	Westmeath
St Joseph?s Secondary School	St Josephs Secondary School	Rochfortbridge	Co. Westmeath			"Rochfortbridge, Co. Westmeath"	Westmeath
St. Mary?s C.B.S.	St. Mary?s CBS	Borris Road	Portlaoise	Co. Laois		"Borris Road, Portlaoise, Co. Laois"	Laois
Scoil Chriost Ri	Scoil Chriost Ri	Presentation Secondary School	Borris Road	Portlaoise	Co Laois	"Presentation Secondary School, Borris Road, Portlaoise, Co Laois"	Laois
F.C.J. Secondary School	FCJ Secondary School	Bunclody	Enniscorthy	Co Wexford		"Bunclody, Enniscorthy, Co Wexford"	Wexford
St. Mary?s C.B.S.	St Marys CBS	Millpark Road	Enniscorthy	Co Wexford		"Millpark Road, Enniscorthy, Co Wexford"	Wexford
Coláiste Bríde	"Coláiste Bríde, Enniscorthy"	Enniscorthy	Co Wexford			"Enniscorthy, Co Wexford"	Wexford
Christian Brothers Secondary School	Christian Brothers Secondary School	Mountgarrett	New Ross	Co Wexford		"Mountgarrett, New Ross, Co Wexford"	Wexford
Good Counsel College	Good Counsel College	New Ross	Co Wexford			"New Ross, Co Wexford"	Wexford
St. Mary?s Secondary School	St Marys Secondary School	Irishtown	New Ross	Co Wexford		"Irishtown, New Ross, Co Wexford"	Wexford
Our Lady of Lourdes Secondary School	Our Lady Of Lourdes Secondary School	Rosbercon	New Ross	Co Wexford		"Rosbercon, New Ross, Co Wexford"	Wexford
Christian Brothers Secondary School	Wexford CBS	Thomas St	Wexford			"Thomas St, Wexford"	Wexford
St Peter?s College	Saint Peter?s College Secondary School	Secondary School	Summerhill	Wexford		"Secondary School, Summerhill, Wexford"	Wexford
Loreto Secondary School	Loreto Secondary School	Spawell Road	Wexford	Co Wexford		"Spawell Road, Wexford, Co Wexford"	Wexford
Presentation Secondary School	Presentation Secondary School	Grogan?s Road	Wexford	Co. Wexford		"Grogan?s Road, Wexford, Co. Wexford"	Wexford
Mercy Secondary School	Mercy Secondary School	Ballymahon	Co Longford			"Ballymahon, Co Longford"	Longford
Cnoc Mhuire	Cnoc Mhuire Secondary School	Granard	Longford			"Granard, Longford"	Longford
St. Mel?s College	St Mels College	Longford	Co. Longford			"Longford, Co. Longford"	Longford
Meán Scoil Muire	Mean Scoil Mhuire	Convent Road	Longford Town	Co. Longford		"Convent Road, Longford Town, Co. Longford"	Longford
St. Joseph?s C.B.S.	St Josephs Secondary School	Newfoundwell Rd	Drogheda	Co Louth		"Newfoundwell Rd, Drogheda, Co Louth"	Louth
St Mary?s Diocesan School	Saint Mary?s Diocesan School	Beamore Road	Drogheda	Co. Louth		"Beamore Road, Drogheda, Co. Louth"	Louth
Our Lady?s College	Our Lady?s College	Greenhills	Drogheda	Co Louth		"Greenhills, Drogheda, Co Louth"	Louth
Sacred Heart Secondary School	Sacred Heart Secondary School	Sunnyside	Drogheda	Co Louth		"Sunnyside, Drogheda, Co Louth"	Louth
Drogheda Grammar School	Drogheda Grammar School	Mornington Rd	Drogheda	Co Louth		"Mornington Rd, Drogheda, Co Louth"	Louth
Colaiste Rís	Coláiste Rís	Sraid an tSéipéil	Dún Dealgan	Co Lú		"Sraid an tSéipéil, Dún Dealgan, Co Lú"	Louth
St Mary?s College	St Mary?s College	Nicholas Street	Dundalk	Co Louth		"Nicholas Street, Dundalk, Co Louth"	Louth
De La Salle College	De La Salle College	Castleblaney Road	Dundalk	Co. Louth		"Castleblaney Road, Dundalk, Co. Louth"	Louth
St Vincent?s Secondary School	St Vincent?s Secondary School	Seatown Place	Dundalk	Co. Louth		"Seatown Place, Dundalk, Co. Louth"	Louth
St Louis Secondary School	St Louis Secondary School	Dun Lughaidh	Dundalk	Co Louth		"Dun Lughaidh, Dundalk, Co Louth"	Louth
Dundalk Grammar School	Dundalk Grammar School	The Crescent	Dundalk	Co Louth		"The Crescent, Dundalk, Co Louth"	Louth
Scoil Pól	Scoil Pol	Kilfinane	Co. Limerick			"Kilfinane, Co. Limerick"	Limerick
Glenstal Abbey School	Glenstal Abbey School	Murroe	Co Limerick			"Murroe, Co Limerick"	Limerick
Scoil Mhuire & Íde	Scoil Mhuire agus Ide	Newcastle West	Co Limerick			"Newcastle West, Co Limerick"	Limerick
Salesian Secondary College	Salesian Secondary College	Pallaskenry	Co Limerick			"Pallaskenry, Co Limerick"	Limerick
Colaiste Mhichil	Coláiste Nano Nagle	Sexton Street	Limerick			"Sexton Street, Limerick"	Limerick
Ardscoil Ris	Ardscoil Mhuire	North Circular Rd	Limerick			"North Circular Rd, Limerick"	Limerick
St Clements College	St Clements Redemptorist College	Laurel Hill Avenue	South Circular Road	Limerick		"Laurel Hill Avenue, South Circular Road, Limerick"	Limerick
St Munchin?s College	St Munchin?s College	Corbally	Limerick			"Corbally, Limerick"	Limerick
Laurel Hill Secondary School FCJ	Laurel Hill Secondary School	Laurel Hill	South Circular Road	Limerick		"Laurel Hill, South Circular Road, Limerick"	Limerick
Ardscoil Mhuire	Ardscoil Mhuire	Corbally	Limerick			"Corbally, Limerick"	Limerick
Villiers Secondary School	Villiers Secondary School	North Circular Road	Limerick			"North Circular Road, Limerick"	Limerick
St Patrick?s Classical School	St Patricks Classical School	Moatlands	Navan	Co Meath		"Moatlands, Navan, Co Meath"	Meath
"St. Joseph?s Secondary School, Navan,"	St Josephs Mercy Secondary School	Brew?s Hill	Navan	Co Meath		"Brew?s Hill, Navan, Co Meath"	Meath
Loreto Secondary School	Loreto Secondary School	St Michaels	Navan	Co Meath		"St Michaels, Navan, Co Meath"	Meath
Eureka Secondary School	Eureka Secondary School	Kells	Co. Meath			"Kells, Co. Meath"	Meath
Franciscan College	Franciscan College	Gormanston	Co Meath			"Gormanston, Co Meath"	Meath
Scoil Mhuire	Scoil Mhuire	Convent Of Mercy	Trim	Co Meath		"Convent Of Mercy, Trim, Co Meath"	Meath
Balla Secondary School	Balla Secondary School	Balla	Castlebar	Co Mayo		"Balla, Castlebar, Co Mayo"	Mayo
St Muredachs College	St. Muredach?s College	Sligo Road	Ballina	Co Mayo		"Sligo Road, Ballina, Co Mayo"	Mayo
St. Mary?s Secondary School	St. Mary?s Secondary School	Convent of Mercy	Ballina	Co Mayo		"Convent of Mercy, Ballina, Co Mayo"	Mayo
Our Lady?s Secondary School	Our Lady?s Secondary School	Belmullet	Co Mayo			"Belmullet, Co Mayo"	Mayo
St. Geralds College	St. Gerald?s College Castlebar	Newport Road	Castlebar	Co. Mayo		"Newport Road, Castlebar, Co. Mayo"	Mayo
St Joseph?s Secondary School	St Joseph?s Secondary School	Castlebar	Co Mayo			"Castlebar, Co Mayo, "	Mayo
Coláiste Cholmáin	Colaiste Cholmain	Claremorris	Co Mayo			"Claremorris, Co Mayo, "	Mayo
Mount St Michael	Mount Saint Michael	Convent of Mercy	Claremorris	Co Mayo		"Convent of Mercy, Claremorris, Co Mayo"	Mayo
Jesus & Mary Secondary School	"Jesus & Mary Secondary School, Gortnor Abbey"	Gortnor Abbey	Crossmolina	Co Mayo		"Gortnor Abbey, Crossmolina, Co Mayo"	Mayo
St Joseph?s Secondary School	St Josephs Secondary School	Foxford	Co Mayo			"Foxford, Co Mayo"	Mayo
Sancta Maria College	Sancta Maria College	Louisburgh	Co Mayo			"Louisburgh, Co Mayo"	Mayo
Scoil Muire Agus Padraig	Scoil Muire agus Padraig	Swinford	Co Mayo			"Swinford, Co Mayo"	Mayo
Coláiste Mhuire	Coláiste Muire	Tuar Mhic Éadaigh	Co Mhaigh Eo F12 H766			"Tuar Mhic Éadaigh, Co Mhaigh Eo F12 H766"	Mayo
Rice College	Rice College	Castlebar Road	Westport	Co Mayo		"Castlebar Road, Westport, Co Mayo"	Mayo
Sacred Heart School	Sacred Heart School	Westport	Co Mayo			"Westport, Co Mayo"	Mayo
Patrician High School	Patrician High School	Carrickmacross	Co. Monaghan			"Carrickmacross, Co. Monaghan"	Monaghan
St Louis Secondary School	Saint Louis Secondary School	Carrickmacross	Co. Monaghan			"Carrickmacross, Co. Monaghan"	Monaghan
Our Lady?s Secondary School	Our Ladys Secondary School	Castleblayney	Co. Monaghan			"Castleblayney, Co. Monaghan"	Monaghan
St. Macartan?s College	St Macartan?s College	Monaghan	Co. Monaghan			"Monaghan, Co. Monaghan"	Monaghan
St. Louis Secondary School	St Louis Secondary School	Monaghan	Co. Monaghan			"Monaghan, Co. Monaghan"	Monaghan
Monaghan Collegiate School	Monaghan Collegiate School	Corlatt	Monaghan	Co Monaghan		"Corlatt, Monaghan, Co Monaghan"	Monaghan
Scoil na mBraithre	Dungarvan CBS	Dungarvan	Co Waterford			"Dungarvan, Co Waterford"	Waterford
St Augustines College	St. Augustine?s College	Abbeyside	Dungarvan	Co Waterford		"Abbeyside, Dungarvan, Co Waterford"	Waterford
Ard Scoil na nDeise	Ard Scoil na nDeise	Convent Rd	Dungarvan	Co Waterford		"Convent Rd, Dungarvan, Co Waterford"	Waterford
"C.B.S. Mount Sion, Waterford"	Mount Sion CBS Secondary School	Barrack Street	Waterford			"Barrack Street, Waterford"	Waterford
Waterpark College	Waterpark	Park Road	Waterford			"Park Road, Waterford"	Waterford
De La Salle College	De La Salle College	Newtown	Waterford			"Newtown, Waterford"	Waterford
Presentation Secondary School	Presentation Secondary School	Cannon Street	Waterford			"Cannon Street, Waterford"	Waterford
Our Lady of Mercy Secondary School	Our Lady of Mercy Secondary School	Ozanam St.	Waterford			"Ozanam St., Waterford"	Waterford
St Angela?s Secondary School	St Angela?s Ursuline Secondary School	Ursuline Convent	Waterford			"Ursuline Convent, Waterford"	Waterford
Newtown School	Newtown School	Newtown Road	Waterford City	Co.Waterford		"Newtown Road, Waterford City, Co.Waterford"	Waterford
C.B.S. Roscommon	Abbeytown	Abbeytown	Roscommon	Co. Roscommon		"Abbeytown, Roscommon, Co. Roscommon"	Roscommon
Scoil Muire gan Smal	Scoil Muire gan Smal	Convent of Mercy	Roscommon Town			"Convent of Mercy, Roscommon Town"	Roscommon
Scoil Mhuire	Scoil Mhuire Strokestown	Strokestown	Co Roscommon			"Strokestown, Co Roscommon"	Roscommon
St Marys College	St Marys College	Ballysadare	Co Sligo			"Ballysadare, Co Sligo"	Sligo
Coláiste Muire	Colaiste Muire	Ballymote	Co Sligo			"Ballymote, Co Sligo"	Sligo
Jesus & Mary Secondary School	Jesus and Mary Secondary School	Enniscrone	Co Sligo			"Enniscrone, Co Sligo"	Sligo
Summerhill College	Summerhill College	Sligo	Co. Sligo			"Sligo, Co. Sligo"	Sligo
Ursuline College	Ursuline Convent	Finisklin	Sligo			"Finisklin, Sligo"	Sligo
Mercy College	Mercy College	Chapel Hill	Sligo	Co. Sligo		"Chapel Hill, Sligo, Co. Sligo"	Sligo
Sligo Grammar School	Sligo Grammar School	The Mall	Sligo			"The Mall, Sligo"	Sligo
Presentation Secondary School	Scoil Mhuire Presentation Secondary School	Ballingarry	Thurles	Co. Tipperary		"Ballingarry, Thurles, Co. Tipperary"	Tipperary
St Josephs College	St. Joseph?s College	Borrisoleigh	Thurles	Co Tipperary		"Borrisoleigh, Thurles, Co Tipperary"	Tipperary
C.B.S.	CBS Carrick-on-Suir	Carrick-On-Suir	Co Tipperary			"Carrick-On-Suir, Co Tipperary"	Tipperary
Scoil Mhuire	Scoil Mhuire	Greenhill	Carrick-On-Suir	Co Tipperary		"Greenhill, Carrick-On-Suir, Co Tipperary"	Tipperary
Rockwell College	Rockwell College	Cashel	Co Tipperary			"Cashel, Co Tipperary"	Tipperary
Árdscoil na mBráithre	Ard Scoil na mBraithre	Clonmel	Co Tipperary			"Clonmel, Co Tipperary"	Tipperary
Loreto Secondary School	Loreto Secondary School	Coleville Rd.	Clonmel	Co Tipperary		"Coleville Rd., Clonmel, Co Tipperary"	Tipperary
Presentation Secondary School	Presentation Secondary School	Clonmel	Co Tipperary			"Clonmel, Co Tipperary"	Tipperary
Patrician Presentation	Patrician Presentation Secondary School	Rocklow Rd.	Fethard	Co Tipperary		"Rocklow Rd., Fethard, Co Tipperary"	Tipperary
St. Joseph?s C.B.S	St. Joseph?s CBS	Summerhill	Nenagh	Co Tipperary		"Summerhill, Nenagh, Co Tipperary"	Tipperary
St Mary?s Secondary School	St Marys Secondary School	Nenagh	Co Tipperary			"Nenagh, Co Tipperary"	Tipperary
St. Mary?s Secondary School	Newport	Newport	Co. Tipperary			"Newport, Co. Tipperary"	Tipperary
Cistercian College	Cistercian College Roscrea	Roscrea	Co. Tipperary			"Roscrea, Co. Tipperary"	Tipperary
Our Ladys Secondary School	Our Ladys Secondary School	Templemore	Co. Tipperary			"Templemore, Co. Tipperary, "	Tipperary
C.B.S. Thurles	Christian Brothers Secondary School	Rossa St	Thurles	Co Tipperary		"Rossa St, Thurles, Co Tipperary"	Tipperary
Presentation Secondary School	Presentation Secondary School Thurles	Thurles	Co Tipperary			"Thurles, Co Tipperary"	Tipperary
Ursuline Secondary School	Ursuline Secondary School	Thurles	Co. Tipperary			"Thurles, Co. Tipperary"	Tipperary
The Abbey School	Abbey School	Station Road	Co. Tipperary			"Station Road, Co. Tipperary"	Tipperary
St. Anne?s Secondary School	St Annes Secondary School	Convent Of Mercy	Rosanna Road	Tipperary Town		"Convent Of Mercy, Rosanna Road, Tipperary Town"	Tipperary
St Mary?s Secondary School	St Marys Secondary School	Edenderry	Co Offaly			"Edenderry, Co Offaly, "	Offaly
Colaiste Choilm	Coláiste Choilm	O?Moore Street	Tulach Mhor	Co. Offaly		"O?Moore Street, Tulach Mhor, Co. Offaly"	Offaly
Sacred Heart Secondary School	Sacred Heart School	Daingean Road	Tullamore	Co. Offaly		"Daingean Road, Tullamore, Co. Offaly"	Offaly
Killina Presentation Secondary School	Killina Presentation Secondary School	Rahan	Tullamore	Co Offaly		"Rahan, Tullamore, Co Offaly"	Offaly
St Nathy?s College	St Nathy?s College	Ballaghaderreen	Co Roscommon			"Ballaghaderreen, Co Roscommon"	Roscommon
Coláiste Íosagáin	Colaiste Iosagain	Portarlington	Co. Offaly R32 HV25			"Portarlington, Co. Offaly R32 HV25"	Offaly
Mercy Secondary School Mounthawk	Mercy Mounthawk Secondary School	"Mounthawk,"	"Tralee,"	Co. Kerry		"Mounthawk,, Tralee,, Co. Kerry"	Kerry
John Scottus Secondary School	John Scottus Secondary School	Old Conna House	Ferndale Road	Rathmichael	Co. Dublin	"Old Conna House, Ferndale Road, Rathmichael, Co. Dublin"	Dublin
GAEL CHOLAISTE CHILL DARA	Gael Choláiste Chill Dara	Seanbhóthar Luimnigh	Nás na Ríogh		CONTAE CHILL DARA	"Seanbhóthar Luimnigh, Nás na Ríogh, CONTAE CHILL DARA"	Kildare
St. Jarlaths College	St. Jarlath?s College	TUAM	CO GALWAY			"TUAM, CO GALWAY"	Galway
MEAN SCOIL NUA AN LEITH TRIUIGH	Meán Scoil Nua an Leith-Triúigh	CAISLEAN GHRIAIRE	CO CHIARRAI			"CAISLEAN GHRIAIRE, CO CHIARRAI"	Kerry
Árdscoil na Trionóide	Ardscoil na Trionoide	Rathstewart	Athy	Co Kildare		"Rathstewart, Athy, Co Kildare"	Kildare
Gaelcholáiste Phort Láirge	Gaelcholáiste Phort Láirge	Cuirt an Easpaig	Baile Gunnair	Port Láirge		"Cuirt an Easpaig, Baile Gunnair, Port Láirge"	Waterford
Meanscoil Gharman	Meanscoil Gharman	Brownswood	Enniscorthy			"Brownswood, Enniscorthy"	Wexford
Temple Carrig Secondary School	Temple Carrig School	Blacklion	Greystones			"Blacklion, Greystones"	Wicklow
Coláiste Ghlór na Mara	Coláiste Ghlór na Mara	Bóthar na hÁille	Baile Brigín	Co. Átha Cliath		"Bóthar na hÁille, Baile Brigín, Co. Átha Cliath"	Dublin
Le Cheile Secondary School	Le Chéile Secondary School	Hollystown Road	Tyrellstown	Dublin 15		"Hollystown Road, Tyrellstown, Dublin 15"	Dublin
Hansfield Education Together Secondary School	Hansfield Educate Together Secondary School	Hansfield	Barnwell Road	Handsfield	Dublin 15	"Hansfield, Barnwell Road, Handsfield, Dublin 15"	Dublin
Scoil na Tríonóide Naofa	Scoil Na Tríonóide Naofa	Doon	Co Limerick			"Doon, Co Limerick"	Limerick
Ard Scoil na Mara	Ardscoil na Mara	Tramore	Tramore			"Tramore, Tramore"	Waterford
Gaelcholáiste an Phiarsaigh	Gaelcholáiste An Phiarsaigh	Bóthar na Gráinsí	Ráth Fearnáin	Baile Átha Cliath 14		"Bóthar na Gráinsí, Ráth Fearnáin, Baile Átha Cliath 14"	Dublin
New Cross College	New Cross College	Cappagh	Finglas	Dublin 11		"Cappagh, Finglas, Dublin 11"	Dublin
Stepaside Educate Together Secondary School	Stepaside Educate Together Secondary School	Belarmine	Stepaside		Dublin 18	"Belarmine, Stepaside, Dublin 18"	Dublin
North Wicklow Educate Together Secondary School	North Wicklow Educate Together Secondary School	Putland Road	Bray	Co Wicklow		"Putland Road, Bray, Co Wicklow"	Wicklow
Bremore Educate Together Secondary School	Bremore Educate Together Secondary School	Naul Road	Balbriggan	Co Dublin		"Naul Road, Balbriggan, Co Dublin"	Dublin
Cork Educate Together Secondary School	Cork Educate Together Secondary School	c/o Nagle Community College	Mahon	Blackrock	Co Cork	"c/o Nagle Community College, Mahon, Blackrock, Co Cork"	Cork
Edmund Rice College	Edmund Rice College	Carrigaline	Co. Cork			"Carrigaline, Co. Cork"	Cork
Our Lady?s College	Our Lady?s College Galway	Presentation Road	Galway			"Presentation Road, Galway"	Galway
Edmund Rice College	Edmund Rice College	Old School of Horology	Mill Road	Blanchardstown	Dublin 15	"Old School of Horology, Mill Road, Blanchardstown, Dublin 15"	Dublin
Coláiste Chiaráin	Coláiste Chiaráin Athlone	Summerhill	Athlone			"Summerhill, Athlone"	Roscommon
Balbriggan Community College	Balbriggan Community College	Pine Ridge	Chapel St.	Balbriggan	Co Dublin	"Pine Ridge, Chapel St., Balbriggan, Co Dublin"	Dublin
Grange Community College	Grange Community College	Grange Road	Donaghmede	Dublin 13		"Grange Road, Donaghmede, Dublin 13"	Dublin
Coláiste de hÍde	Colaiste de hIde	Br Thish Motháin Thuaidh	Br Chaisleáin Thigh Mótháin	Tamhlacht	Baile Atha Cliath 24	"Br Thish Motháin Thuaidh, Br Chaisleáin Thigh Mótháin, Tamhlacht, Baile Atha Cliath 24"	Dublin
Deansrath Community College	Deansrath Community College	New Nangor Road	Clondalkin	Dublin 22		"New Nangor Road, Clondalkin, Dublin 22"	Dublin
Collinstown Park Community College	Collinstown Park Community College	Neilstown Road	Rowlagh	Clondalkin	Dublin 22	"Neilstown Road, Rowlagh, Clondalkin, Dublin 22"	Dublin
St. Kevin?s Community College	St. Kevin?s Community College	Fonthill Road	Clondalkin	Dublin 22		"Fonthill Road, Clondalkin, Dublin 22"	Dublin
Lucan Community College	Lucan Community College	Esker Drive	Lucan	Co Dublin		"Esker Drive, Lucan, Co Dublin"	Dublin
Colaiste Ghleann na hAbhann	Riversdale Community College	Riversdale Community College	Blanchardstown Road North	Dublin 15		"Riversdale Community College, Blanchardstown Road North, Dublin 15"	Dublin
Coláiste Chilliain	Coláiste Chilliain	Bóthar Nangor	Cluain Dolcáin	Baile Atha Cliath 22		"Bóthar Nangor, Cluain Dolcáin, Baile Atha Cliath 22"	Dublin
St Finians Community College	St Finian?s Community College	Swords	Co Dublin			"Swords, Co Dublin"	Dublin
Fingal Community College	Fingal Community College.	Seatown Road	Swords	Co Dublin		"Seatown Road, Swords, Co Dublin"	Dublin
Greenhills College	"Greenhills College, Dublin - Secondary & Further Education"	Limekiln Avenue	Greenhills	Dublin 12		"Limekiln Avenue, Greenhills, Dublin 12"	Dublin
Firhouse Community College	Firhouse Community College	Firhouse Road	Dublin 24			"Firhouse Road, Dublin 24, "	Dublin
Mount Seskin Community College	Mount Seskin Community College	Jobstown	Tallaght	Dublin 24		"Jobstown, Tallaght, Dublin 24"	Dublin
Cabra Community College	Cabra Community College	Kilkieran Road	Cabra	Dublin 7		"Kilkieran Road, Cabra, Dublin 7"	Dublin
St. Kevins College	St Kevin?s College	Clogher Road	Crumlin	Dublin 12		"Clogher Road, Crumlin, Dublin 12"	Dublin
Coláiste Eoin	Coláiste Eoin	Cappagh Road	Finglas West	Dublin 11		"Cappagh Road, Finglas West, Dublin 11"	Dublin
Ringsend College	Ringsend College	Cambridge Road	Ringsend	Dublin 4		"Cambridge Road, Ringsend, Dublin 4"	Dublin
Kylemore College	Kylemore Music College	Kylemore Road	Ballyfermot	Dublin 10		"Kylemore Road, Ballyfermot, Dublin 10"	Dublin
Marino College	Marino College	14-20 Marino Mart	Fairview	Dublin 3		"14-20 Marino Mart, Fairview, Dublin 3"	Dublin
St Mac Dara?s Community College	St. Mac Dara?s Community College	Wellington Lane	Templeogue	Dublin 6W		"Wellington Lane, Templeogue, Dublin 6W"	Dublin
Rathmines College	Rathmines College	Town Hall	Rathmines	Dublin 6		"Town Hall, Rathmines, Dublin 6"	Dublin
Pearse College - Colaiste an Phiarsaigh	Pearse College of Further Education	Clogher Road	Crumlin	Dublin 12		"Clogher Road, Crumlin, Dublin 12"	Dublin
Plunket College	Plunket College	Swords Road	Whitehall	Dublin 9		"Swords Road, Whitehall, Dublin 9"	Dublin
Margaret Aylward Community College	Margaret Aylward Community College	The Thatch Road	Whitehall	Dublin 9		"The Thatch Road, Whitehall, Dublin 9"	Dublin
Coláiste Dhúlaigh	Coláiste Dhúlaigh College of Further Education (CDCFE)	Barryscourt Road	Coolock	Dublin 17		"Barryscourt Road, Coolock, Dublin 17"	Dublin
St Bricin?s College	Saint Bricin?s College	Belturbet	Co Cavan			"Belturbet, Co Cavan"	Cavan
St. Mogue?s College	St Mogues College	Bawnboy	Belturbet	Co Cavan		"Bawnboy, Belturbet, Co Cavan"	Cavan
Breifne College	Breifne College	Cootehill Rd	Cavan	Co Cavan		"Cootehill Rd, Cavan, Co Cavan"	Cavan
Virginia College	Virginia College	Virginia	Co Cavan			"Virginia, Co Cavan, "	Cavan
Borris Vocational School	Borris Vocational School	Borris	Co Carlow			"Borris, Co Carlow, "	Carlow
Coláiste Eoin	Colaiste Eoin	Hacketstown	Co Carlow			"Hacketstown, Co Carlow, "	Carlow
Tyndall College	Tyndall College Carlow	Mortarstown	Kilkenny Road	Co. Carlow		"Mortarstown, Kilkenny Road, Co. Carlow"	Carlow
Coláiste Aindriú	Coláiste Aindriú Secondary School	Muine Bheag	Co Carlow			"Muine Bheag, Co Carlow"	Carlow
Gaelcholáiste Cheatharlach	Gaelcholáiste Ceatharlach	Easca	Ceatharlach			"Easca, Ceatharlach"	Carlow
Killarney Community College	Killarney Community College	New Road	Killarney	Co Kerry V93 NA48		"New Road, Killarney, Co Kerry V93 NA48"	Kerry
Community College Killorglin	Community College Killorglin	Killorglin	Co Kerry			"Killorglin, Co Kerry"	Kerry
Coláiste na Ríochta	Coláiste na Ríochta	Listowel	Co Kerry			"Listowel, Co Kerry"	Kerry
Castleisland Community College	Castleisland Community College	Tonbwee	Castleisland	Co. Kerry		"Tonbwee, Castleisland, Co. Kerry"	Kerry
Causeway Comprehensive School	Causeway Comprehensive School	Causeway	Tralee	Co Kerry		"Causeway, Tralee, Co Kerry"	Kerry
Coláiste Gleann Lí Post Primary School	Coláiste Gleann Lí	Clash Road	Tralee			"Clash Road, Tralee"	Kerry
Gaelcholáiste Chiarraí	Tralee	Tobar Mhaigh Dor	Trá Lí	Co Chiarraí		"Tobar Mhaigh Dor, Trá Lí, Co Chiarraí"	Kerry
Scoil Aireagail	Scoil Aireagail	Ballyhale	Kilkenny			"Ballyhale, Kilkenny"	Kilkenny
Duiske College	Duiske College	Graignamanagh	Co Kilkenny			"Graignamanagh, Co Kilkenny"	Kilkenny
Coláiste Mhuire	Colaiste Mhuire	Johnstown	Co Kilkenny			"Johnstown, Co Kilkenny"	Kilkenny
City Vocational School	City Vocational School	"New Street,"	Kilkenny			"New Street,, Kilkenny"	Kilkenny
Coláiste Cois Siúire	Colaiste Cois Siuire	Mooncoin	Co Kilkenny			"Mooncoin, Co Kilkenny"	Kilkenny
Grennan College	Grennan College	Ladywell St	Thomastown	Co Kilkenny		"Ladywell St, Thomastown, Co Kilkenny"	Kilkenny
Coláiste Pobail Osraí	Colaiste Pobail Osrai	Bóthar Urmhumhan	Cill Chainnigh			"Bóthar Urmhumhan, Cill Chainnigh"	Kilkenny
Athy Community College	Athy College	Tomard	Athy	Co Kildare		"Tomard, Athy, Co Kildare"	Kildare
Curragh Post-Primary School	Curragh Post Primary School	McSwiney Road	Curragh	Co Kildare		"McSwiney Road, Curragh, Co Kildare"	Kildare
Colaiste Lorcain	Coláiste Lorcáin	Castledermot	Co. Kildare			"Castledermot, Co. Kildare"	Kildare
St Conleth?s Community College	Saint Conleth?s Community College	Station Road	Newbridge	Co Kildare		"Station Road, Newbridge, Co Kildare"	Kildare
Confey Community College	Confey Community College Leixlip	Confey	Leixlip	Co Kildare		"Confey, Leixlip, Co Kildare"	Kildare
Maynooth Post Primary School	Maynooth Post Primary	Moyglare Rd	Maynooth	Co Kildare		"Moyglare Rd, Maynooth, Co Kildare"	Kildare
Piper?s Hill College	Piper?s Hill College	Killashee	Naas	Co. Kildare		"Killashee, Naas, Co. Kildare"	Kildare
St Farnan?s Post Primary School	St Farnan?s Post Primary School	Prosperous	Co. Kildare			"Prosperous, Co. Kildare"	Kildare
Ardscoil Rath Iomgháin	Ardscoil Rath Iomgháin	Rathangan	Co Kildare			"Rathangan, Co Kildare"	Kildare
Glenart College	Glenart College	Coolgreaney Rd	Arklow	Co Wicklow		"Coolgreaney Rd, Arklow, Co Wicklow"	Wicklow
Scoil Chonglais	Scoil Chonglais	Baltinglass	Co Wicklow			"Baltinglass, Co Wicklow"	Wicklow
Blessington Community College	Blessington Community College	Naas Rd	Blessington	Co Wicklow		"Naas Rd, Blessington, Co Wicklow"	Wicklow
St Thomas? Community College	Bray Institute Of Further Education	Novara Avenue	Bray	Co. Wicklow		"Novara Avenue, Bray, Co. Wicklow"	Wicklow
